,text,label
0,Ummmm I don t refuse any of the newborn vaccines and the only vaccine I d refuse for my older child is the hpv vaccine,4
1,The way I am approaching this now is taking care of myself so I can take care of my baby I ve had 4 vaccines now so has my husband We are doing our best to stay negative but we both work and my mom and a nanny care for my son It s basically inevitable that someone is going to infect him So what can I do Give myself the tools to deal with this when it does happen I have a sick table set up with meds for all of us for baby infant tylenol snot sucker frida bath bombs and chest rub etc pulse oximeters we have an owlet for my son covid tests pedialyte thermometers etc I m considering it an accomplishment to have gotten this far in the pandemic without my family contracting this virus Good luck I am sure you guys will be just fine,6
1,The way I am approaching this now is taking care of myself so I can take care of my baby I ve had 4 vaccines now so has my husband We are doing our best to stay negative but we both work and my mom and a nanny care for my son It s basically inevitable that someone is going to infect him So what can I do Give myself the tools to deal with this when it does happen I have a sick table set up with meds for all of us for baby infant tylenol snot sucker frida bath bombs and chest rub etc pulse oximeters we have an owlet for my son covid tests pedialyte thermometers etc I m considering it an accomplishment to have gotten this far in the pandemic without my family contracting this virus Good luck I am sure you guys will be just fine,2
1,The way I am approaching this now is taking care of myself so I can take care of my baby I ve had 4 vaccines now so has my husband We are doing our best to stay negative but we both work and my mom and a nanny care for my son It s basically inevitable that someone is going to infect him So what can I do Give myself the tools to deal with this when it does happen I have a sick table set up with meds for all of us for baby infant tylenol snot sucker frida bath bombs and chest rub etc pulse oximeters we have an owlet for my son covid tests pedialyte thermometers etc I m considering it an accomplishment to have gotten this far in the pandemic without my family contracting this virus Good luck I am sure you guys will be just fine,0
3,I am fully vaccinated as well I wear a mask indoors any where I go and outdoors only if I can t keep distance When I know everyone around me is vaccinated friends at our home or my running group I don t wear one At that kind of job I would 100 wear a mask,6
3,I am fully vaccinated as well I wear a mask indoors any where I go and outdoors only if I can t keep distance When I know everyone around me is vaccinated friends at our home or my running group I don t wear one At that kind of job I would 100 wear a mask,2
4,I am fully vaccinated as well I wear a mask indoors any where I go and outdoors only if I can t keep distance When I know everyone around me is vaccinated friends at our home or my running group I don t wear one At that kind of job I would 100 wear a mask,0
5,Good night everyone I m stuck in a dilemma My job is finally mandating the Vaccine It s either you get it or lose your job basically However my boss said If I can get a written letter by my doctor I ll technically be exempt So fast forward to now I m asked my doctor for the letter They said no because the practice enforces the covid vaccine Now my only option is to get it This is my first pregnancy and I don t want anything to happen to my baby girl I m literally in tears right now because I feel so defeated I know that my only option is getting it so I can be able to afford what she needs but now I feel like I m choosing wealth over my baby s health,5
6,Good night everyone I m stuck in a dilemma My job is finally mandating the Vaccine It s either you get it or lose your job basically However my boss said If I can get a written letter by my doctor I ll technically be exempt So fast forward to now I m asked my doctor for the letter They said no because the practice enforces the covid vaccine Now my only option is to get it This is my first pregnancy and I don t want anything to happen to my baby girl I m literally in tears right now because I feel so defeated I know that my only option is getting it so I can be able to afford what she needs but now I feel like I m choosing wealth over my baby s health,3
7,Hi So I just got a call from my midwife that my liver levels are fine however my gallbladder blood work came back a little elevated which is causing Chloestasis Has anyone ever heard or had this I m still not sure what this means She mentioned that the normal is 10 and my blood work came back at 14 And now I have to meet with the high risk team and get testing done I m freaking out now especially I have no idea what this is or what it causes If any of you have heard of this or have had this any insight would be greatly appreciated Sometimes it s easier to understand info from other moms or pregnant women than the doctor n nI went in to get my tdap vaccine last week and mentioned that late at night I get some itching in my arms and chest it s not unbearable but it does last a couple mins before it stops which is why my doc recommended getting blood work done n nI have noticed that baby doesn t move alllllll the time like I think he should be but there are moments throughout the day where he is super active for a couple of minutes n nPlease help I m totally freaking out,1
